	metric	pseudo_f	p_value	variable	iteration	subset	analysis_type	partial_R2	formula
378	rpca	0.759	0.476	N05B_Anxiolytics	7	medicated	beta_group_significance		
379	uwuf	1.775	0.022	N05B_Anxiolytics	7	medicated	beta_group_significance		
380	wuf	0.797	0.487	N05B_Anxiolytics	7	medicated	beta_group_significance		
381	rpca	3.679	0.026	cobre	7	medicated	beta_group_significance		
382	uwuf	2.965	0.002	cobre	7	medicated	beta_group_significance		
383	wuf	3.603	0.005	cobre	7	medicated	beta_group_significance		
384	rpca	13.153	0.001	Gender	8	full_table	beta_group_significance		
385	uwuf	3.436	0.001	Gender	8	full_table	beta_group_significance		
386	wuf	3.672	0.012	Gender	8	full_table	beta_group_significance		
387	rpca	2.878	0.056	DX_MDD	8	full_table	beta_group_significance		
388	uwuf	3.195	0.001	DX_MDD	8	full_table	beta_group_significance		
389	wuf	1.278	0.253	DX_MDD	8	full_table	beta_group_significance		
390	rpca	0.568	0.593	DX_ANX	8	full_table	beta_group_significance		
391	uwuf	1.859	0.011	DX_ANX	8	full_table	beta_group_significance		
392	wuf	0.804	0.523	DX_ANX	8	full_table	beta_group_significance		
393	rpca	9.785	0.001	N06A_Antidepressants	8	full_table	beta_group_significance		
394	uwuf	7.406	0.001	N06A_Antidepressants	8	full_table	beta_group_significance		
395	wuf	6.234	0.001	N06A_Antidepressants	8	full_table	beta_group_significance		
396	rpca	3.611	0.025	N05B_Anxiolytics	8	full_table	beta_group_significance		
397	uwuf	5.683	0.001	N05B_Anxiolytics	8	full_table	beta_group_significance		
398	wuf	2.706	0.025	N05B_Anxiolytics	8	full_table	beta_group_significance		
399	rpca	6.265	0.001	cobre	8	full_table	beta_group_significance		
400	uwuf	4.854	0.001	cobre	8	full_table	beta_group_significance		
401	wuf	6.72	0.001	cobre	8	full_table	beta_group_significance		
402	rpca	8.275	0.001	Gender	8	unmedicated	beta_group_significance		
403	uwuf	2.356	0.001	Gender	8	unmedicated	beta_group_significance		
404	wuf	2.653	0.029	Gender	8	unmedicated	beta_group_significance		
405	rpca	1.342	0.264	DX_MDD	8	unmedicated	beta_group_significance		
406	uwuf	1.768	0.015	DX_MDD	8	unmedicated	beta_group_significance		
407	wuf	0.787	0.549	DX_MDD	8	unmedicated	beta_group_significance		
408	rpca	0.994	0.403	DX_ANX	8	unmedicated	beta_group_significance		
409	uwuf	1.575	0.038	DX_ANX	8	unmedicated	beta_group_significance		
410	wuf	1.217	0.285	DX_ANX	8	unmedicated	beta_group_significance		
411	rpca	1.936	0.126	cobre	8	unmedicated	beta_group_significance		
412	uwuf	2.116	0.006	cobre	8	unmedicated	beta_group_significance		
413	wuf	2.48	0.031	cobre	8	unmedicated	beta_group_significance		
414	rpca	5.728	0.003	Gender	8	medicated	beta_group_significance		
415	uwuf	1.715	0.025	Gender	8	medicated	beta_group_significance		
416	wuf	1.689	0.126	Gender	8	medicated	beta_group_significance		
417	rpca	0.763	0.475	DX_MDD	8	medicated	beta_group_significance		
418	uwuf	1.263	0.132	DX_MDD	8	medicated	beta_group_significance		
419	wuf	0.438	0.827	DX_MDD	8	medicated	beta_group_significance		
420	rpca	0.624	0.577	DX_ANX	8	medicated	beta_group_significance		
421	uwuf	0.966	0.478	DX_ANX	8	medicated	beta_group_significance		
422	wuf	0.441	0.826	DX_ANX	8	medicated	beta_group_significance		
423	rpca	1.249	0.271	N06A_Antidepressants	8	medicated	beta_group_significance		
424	uwuf	1.125	0.258	N06A_Antidepressants	8	medicated	beta_group_significance		
425	wuf	0.926	0.417	N06A_Antidepressants	8	medicated	beta_group_significance		
426	rpca	0.589	0.595	N05B_Anxiolytics	8	medicated	beta_group_significance		
427	uwuf	1.695	0.033	N05B_Anxiolytics	8	medicated	beta_group_significance		
428	wuf	0.816	0.499	N05B_Anxiolytics	8	medicated	beta_group_significance		
429	rpca	3.19	0.032	cobre	8	medicated	beta_group_significance		
430	uwuf	3.02	0.002	cobre	8	medicated	beta_group_significance		
431	wuf	3.647	0.014	cobre	8	medicated	beta_group_significance		
432	rpca	14.019	0.001	Gender	9	full_table	beta_group_significance		
433	uwuf	3.423	0.002	Gender	9	full_table	beta_group_significance		
434	wuf	3.68	0.008	Gender	9	full_table	beta_group_significance		
435	rpca	3.261	0.036	DX_MDD	9	full_table	beta_group_significance		
436	uwuf	3.189	0.001	DX_MDD	9	full_table	beta_group_significance		
437	wuf	1.279	0.246	DX_MDD	9	full_table	beta_group_significance		
438	rpca	0.628	0.573	DX_ANX	9	full_table	beta_group_significance		
439	uwuf	1.821	0.007	DX_ANX	9	full_table	beta_group_significance		
440	wuf	0.802	0.524	DX_ANX	9	full_table	beta_group_significance		
441	rpca	9.171	0.001	N06A_Antidepressants	9	full_table	beta_group_significance		
442	uwuf	7.434	0.001	N06A_Antidepressants	9	full_table	beta_group_significance		
443	wuf	6.121	0.001	N06A_Antidepressants	9	full_table	beta_group_significance		
444	rpca	4.116	0.012	N05B_Anxiolytics	9	full_table	beta_group_significance		
445	uwuf	5.76	0.001	N05B_Anxiolytics	9	full_table	beta_group_significance		
446	wuf	2.636	0.033	N05B_Anxiolytics	9	full_table	beta_group_significance		
447	rpca	6.6	0.001	cobre	9	full_table	beta_group_significance		
448	uwuf	4.774	0.001	cobre	9	full_table	beta_group_significance		
449	wuf	6.652	0.001	cobre	9	full_table	beta_group_significance		
450	rpca	9.033	0.001	Gender	9	unmedicated	beta_group_significance		
451	uwuf	2.375	0.003	Gender	9	unmedicated	beta_group_significance		
452	wuf	2.685	0.024	Gender	9	unmedicated	beta_group_significance		
453	rpca	2.005	0.15	DX_MDD	9	unmedicated	beta_group_significance		
454	uwuf	1.78	0.018	DX_MDD	9	unmedicated	beta_group_significance		
455	wuf	0.78	0.548	DX_MDD	9	unmedicated	beta_group_significance		
456	rpca	0.885	0.413	DX_ANX	9	unmedicated	beta_group_significance		
457	uwuf	1.45	0.071	DX_ANX	9	unmedicated	beta_group_significance		
458	wuf	1.207	0.283	DX_ANX	9	unmedicated	beta_group_significance		
459	rpca	2.139	0.104	cobre	9	unmedicated	beta_group_significance		
460	uwuf	2.171	0.006	cobre	9	unmedicated	beta_group_significance		
461	wuf	2.491	0.035	cobre	9	unmedicated	beta_group_significance		
462	rpca	5.914	0.001	Gender	9	medicated	beta_group_significance		
463	uwuf	1.68	0.025	Gender	9	medicated	beta_group_significance		
464	wuf	1.667	0.151	Gender	9	medicated	beta_group_significance		
465	rpca	0.69	0.539	DX_MDD	9	medicated	beta_group_significance		
466	uwuf	1.248	0.154	DX_MDD	9	medicated	beta_group_significance		
467	wuf	0.461	0.806	DX_MDD	9	medicated	beta_group_significance		
468	rpca	0.726	0.494	DX_ANX	9	medicated	beta_group_significance		
469	uwuf	0.985	0.435	DX_ANX	9	medicated	beta_group_significance		
470	wuf	0.443	0.818	DX_ANX	9	medicated	beta_group_significance		
471	rpca	0.916	0.42	N06A_Antidepressants	9	medicated	beta_group_significance		
472	uwuf	1.202	0.188	N06A_Antidepressants	9	medicated	beta_group_significance		
473	wuf	0.942	0.435	N06A_Antidepressants	9	medicated	beta_group_significance		
474	rpca	0.648	0.571	N05B_Anxiolytics	9	medicated	beta_group_significance		
475	uwuf	1.723	0.037	N05B_Anxiolytics	9	medicated	beta_group_significance		
476	wuf	0.815	0.488	N05B_Anxiolytics	9	medicated	beta_group_significance		
477	rpca	3.332	0.034	cobre	9	medicated	beta_group_significance		
478	uwuf	2.743	0.001	cobre	9	medicated	beta_group_significance		
479	wuf	3.595	0.011	cobre	9	medicated	beta_group_significance		
480	uwuf	2.81989220109975	0.002	Age	0		adonis	0.0041785710644441	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
481	uwuf	3.19392322428186	0.002	Gender	0		adonis	0.0047328175033908	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
482	uwuf	1.86959585888666	0.011	GroupAssignment	0		adonis	0.0027704034768072	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
483	uwuf	2.19668788605391	0.004	InBody_BMI	0		adonis	0.0032550947992621	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
484	uwuf	2.59786248873988	0.002	N05B_Anxiolytics	0		adonis	0.0038495631218171	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
485	uwuf	7.15260173472025	0.001	N06A_Antidepressants	0		adonis	0.0105988642518103	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
486	uwuf	4.01549225775124	0.001	cobre	0		adonis	0.0059502344632872	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
487	uwuf	2.81982333221169	0.001	Age	0		adonis	0.0041785710644441	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
488	uwuf	1.85365113479305	0.013	DX_MDD	0		adonis	0.0027468433596317	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
489	uwuf	3.19384522061174	0.001	Gender	0		adonis	0.0047328175033908	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
490	uwuf	2.19663423738887	0.004	InBody_BMI	0		adonis	0.0032550947992621	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
491	uwuf	2.59779904237804	0.001	N05B_Anxiolytics	0		adonis	0.0038495631218171	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
492	uwuf	7.15242705012484	0.001	N06A_Antidepressants	0		adonis	0.0105988642518103	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
493	uwuf	4.01539418929078	0.001	cobre	0		adonis	0.0059502344632872	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
494	uwuf	2.81844331566063	0.002	Age	0		adonis	0.0041785710644441	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
495	uwuf	1.53414571270184	0.044	DX_ANX	0		adonis	0.0022744955870202	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
496	uwuf	3.19228215841008	0.001	Gender	0		adonis	0.0047328175033908	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
497	uwuf	2.19555920847852	0.011	InBody_BMI	0		adonis	0.0032550947992621	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
498	uwuf	2.59652768412171	0.003	N05B_Anxiolytics	0		adonis	0.0038495631218171	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
499	uwuf	7.14892666497779	0.001	N06A_Antidepressants	0		adonis	0.0105988642518103	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
500	uwuf	4.01342906247701	0.001	cobre	0		adonis	0.0059502344632872	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
501	wuf	8.35462029846679	0.001	Age	0		adonis	0.0123289929067856	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
502	wuf	3.70983563758476	0.009	Gender	0		adonis	0.0054746398552088	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
503	wuf	0.440045516201321	0.831	GroupAssignment	0		adonis	0.0006493793678336	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
504	wuf	1.34330587287102	0.229	InBody_BMI	0		adonis	0.0019823292964384	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
505	wuf	1.00487017322845	0.367	N05B_Anxiolytics	0		adonis	0.001482896504614	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
506	wuf	5.94045561644572	0.001	N06A_Antidepressants	0		adonis	0.0087663870459408	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
507	wuf	5.84699220870751	0.001	cobre	0		adonis	0.0086284622031733	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
508	wuf	8.35537513025923	0.001	Age	0		adonis	0.0123289929067856	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
509	wuf	0.498902488709437	0.782	DX_MDD	0		adonis	0.0007361686517461	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
510	wuf	3.71017081761496	0.008	Gender	0		adonis	0.0054746398552088	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
511	wuf	1.34342723924598	0.212	InBody_BMI	0		adonis	0.0019823292964384	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
512	wuf	1.00496096226816	0.399	N05B_Anxiolytics	0		adonis	0.001482896504614	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
513	wuf	5.94099233081462	0.001	N06A_Antidepressants	0		adonis	0.0087663870459408	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
514	wuf	5.84752047874871	0.001	cobre	0		adonis	0.0086284622031733	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
515	wuf	8.36864574871312	0.001	Age	0		adonis	0.0123289929067856	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
516	wuf	1.53366073992681	0.139	DX_ANX	0		adonis	0.0022594447120528	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
517	wuf	3.716063582518	0.004	Gender	0		adonis	0.0054746398552088	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
518	wuf	1.34556096873564	0.219	InBody_BMI	0		adonis	0.0019823292964384	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
519	wuf	1.00655711483862	0.379	N05B_Anxiolytics	0		adonis	0.001482896504614	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
520	wuf	5.95042824975669	0.001	N06A_Antidepressants	0		adonis	0.0087663870459408	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
521	wuf	5.85680793885253	0.001	cobre	0		adonis	0.0086284622031733	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
522	rpca	3.47192101543719	0.026	Age	0		adonis	0.0050588810111561	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
523	rpca	13.1162377496596	0.001	Gender	0		adonis	0.0191114618663661	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
524	rpca	0.332072008067956	0.742	GroupAssignment	0		adonis	0.0004838568528725	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
525	rpca	2.76687102513747	0.052	InBody_BMI	0		adonis	0.0040315638596472	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
526	rpca	1.15988346615973	0.326	N05B_Anxiolytics	0		adonis	0.0016900477908396	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
527	rpca	9.09245139328624	0.001	N06A_Antidepressants	0		adonis	0.0132484666252018	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
528	rpca	5.36273328471054	0.001	cobre	0		adonis	0.0078139535609513	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
529	rpca	3.47397033340074	0.025	Age	0		adonis	0.0050588810111561	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
530	rpca	0.716523874762203	0.452	DX_MDD	0		adonis	0.0010434196830132	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
531	rpca	13.1239796716431	0.001	Gender	0		adonis	0.0191114618663661	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
532	rpca	2.76850418397646	0.059	InBody_BMI	0		adonis	0.0040315638596472	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
533	rpca	1.160568092916	0.303	N05B_Anxiolytics	0		adonis	0.0016900477908396	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
534	rpca	9.09781825615268	0.001	N06A_Antidepressants	0		adonis	0.0132484666252018	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
535	rpca	5.3658986636478	0.008	cobre	0		adonis	0.0078139535609513	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
536	rpca	3.47334153656676	0.021	Age	0		adonis	0.0050588810111561	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
537	rpca	0.598561644939761	0.568	DX_ANX	0		adonis	0.0008717979811986	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
538	rpca	13.1216042003309	0.001	Gender	0		adonis	0.0191114618663661	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
539	rpca	2.76800307818145	0.067	InBody_BMI	0		adonis	0.0040315638596472	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
540	rpca	1.16035802735055	0.32	N05B_Anxiolytics	0		adonis	0.0016900477908396	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
541	rpca	9.0961715295642	0.001	N06A_Antidepressants	0		adonis	0.0132484666252018	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
542	rpca	5.36492742331833	0.008	cobre	0		adonis	0.0078139535609513	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
543	uwuf	2.85088382528427	0.001	Age	1		adonis	0.0042224245449418	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
544	uwuf	3.36203493695301	0.001	Gender	1		adonis	0.0049794869621973	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
545	uwuf	1.79862591902141	0.017	GroupAssignment	1		adonis	0.0026639325532275	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
546	uwuf	2.15488618810269	0.006	InBody_BMI	1		adonis	0.003191587202363	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
547	uwuf	2.6446049680413	0.001	N05B_Anxiolytics	1		adonis	0.0039169063396047	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
548	uwuf	7.44076247737244	0.001	N06A_Antidepressants	1		adonis	0.011020462440067	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
549	uwuf	3.92517523219326	0.001	cobre	1		adonis	0.0058135502038417	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
550	uwuf	2.8506460964895	0.001	Age	1		adonis	0.0042224245449418	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
551	uwuf	1.74419050878358	0.024	DX_MDD	1		adonis	0.0025835240735115	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
552	uwuf	3.36175458441585	0.001	Gender	1		adonis	0.0049794869621973	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
553	uwuf	2.15470649698661	0.003	InBody_BMI	1		adonis	0.003191587202363	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
554	uwuf	2.64438444037681	0.002	N05B_Anxiolytics	1		adonis	0.0039169063396047	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
555	uwuf	7.44014200891271	0.001	N06A_Antidepressants	1		adonis	0.011020462440067	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
556	uwuf	3.92484792065256	0.001	cobre	1		adonis	0.0058135502038417	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
557	uwuf	2.84987106534814	0.001	Age	1		adonis	0.0042224245449418	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
558	uwuf	1.56672299515387	0.041	DX_ANX	1		adonis	0.0023212873418378	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
559	uwuf	3.36084059355051	0.001	Gender	1		adonis	0.0049794869621973	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
560	uwuf	2.15412067728851	0.008	InBody_BMI	1		adonis	0.003191587202363	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
561	uwuf	2.64366548747223	0.001	N05B_Anxiolytics	1		adonis	0.0039169063396047	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
562	uwuf	7.43811918967882	0.001	N06A_Antidepressants	1		adonis	0.011020462440067	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
563	uwuf	3.92378083646861	0.001	cobre	1		adonis	0.0058135502038417	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
564	wuf	8.37121837205887	0.001	Age	1		adonis	0.0123503294702858	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
565	wuf	3.75914589195057	0.008	Gender	1		adonis	0.005545989631261	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
566	wuf	0.438131046576002	0.845	GroupAssignment	1		adonis	0.0006463889168672	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
567	wuf	1.36734521282908	0.219	InBody_BMI	1		adonis	0.002017288658294	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
568	wuf	1.0414042662704	0.361	N05B_Anxiolytics	1		adonis	0.0015364174279731	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
569	wuf	5.97433818026516	0.002	N06A_Antidepressants	1		adonis	0.0088141345278316	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
570	wuf	5.86178162081358	0.002	cobre	1		adonis	0.0086480761918182	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
571	wuf	8.37201293241645	0.001	Age	1		adonis	0.0123503294702858	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
572	wuf	0.499962776598446	0.785	DX_MDD	1		adonis	0.000737541265609	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
573	wuf	3.75950269405169	0.008	Gender	1		adonis	0.005545989631261	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
574	wuf	1.36747499540707	0.23	InBody_BMI	1		adonis	0.002017288658294	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
575	wuf	1.04150311192337	0.36	N05B_Anxiolytics	1		adonis	0.0015364174279731	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
576	wuf	5.97490523897392	0.001	N06A_Antidepressants	1		adonis	0.0088141345278316	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
577	wuf	5.86233799613359	0.001	cobre	1		adonis	0.0086480761918182	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
578	wuf	8.38522404852591	0.001	Age	1		adonis	0.0123503294702858	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
579	wuf	1.52803592018264	0.151	DX_ANX	1		adonis	0.0022505954459266	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
580	wuf	3.76543522509361	0.007	Gender	1		adonis	0.005545989631261	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
581	wuf	1.36963288396827	0.231	InBody_BMI	1		adonis	0.002017288658294	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
582	wuf	1.04314661374917	0.35	N05B_Anxiolytics	1		adonis	0.0015364174279731	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
583	wuf	5.98433369632251	0.002	N06A_Antidepressants	1		adonis	0.0088141345278316	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
584	wuf	5.87158882130134	0.001	cobre	1		adonis	0.0086480761918182	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_ANX
585	rpca	3.20638183560352	0.025	Age	1		adonis	0.0046813074500728	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
586	rpca	13.5801317733079	0.001	Gender	1		adonis	0.0198269499089123	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
587	rpca	0.210821457534597	0.856	GroupAssignment	1		adonis	0.0003077986685282	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
588	rpca	3.23698292824583	0.036	InBody_BMI	1		adonis	0.0047259849496071	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
589	rpca	0.616811733857534	0.564	N05B_Anxiolytics	1		adonis	0.0009005432019783	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
590	rpca	8.24699855867087	0.001	N06A_Antidepressants	1		adonis	0.0120405920981583	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
591	rpca	4.83484605814364	0.002	cobre	1		adonis	0.0070588601209696	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+GroupAssignment
592	rpca	3.20799848826038	0.038	Age	1		adonis	0.0046813074500728	N06A_Antidepressants+cobre+N05B_Anxiolytics+Gender+Age+InBody_BMI+DX_MDD
